timestamp,node_id,epoch,step,loss,perplexity,samples,tokens
2026-08-28 05:26:43,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,10,2.1875,8.9129,1280,2621440
2026-08-28 05:27:40,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,11,3.2500,25.7903,1312,2686976
2026-08-28 05:28:26,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,4,1,2.5000,12.1825,1472,3014656
2026-08-28 05:28:35,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,12,2.6719,14.4674,1344,2752512
2026-08-28 05:29:21,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,4,2,2.2656,9.6369,1504,3080192
2026-08-28 05:29:31,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,13,2.7344,15.4005,1376,2818048
2026-08-28 05:30:17,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,4,3,2.0781,7.9893,1536,3145728
2026-08-28 05:30:27,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,14,2.4062,11.0917,1408,2883584
2026-08-28 05:31:13,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,4,4,2.6250,13.8046,1568,3211264
2026-08-28 05:31:22,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,15,2.1250,8.3729,1440,2949120
2026-08-28 05:32:08,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,4,5,2.3281,10.2584,1600,3276800
2026-08-28 05:33:04,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,4,6,2.2031,9.0530,1632,3342336
2026-08-28 05:34:00,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,4,7,2.3125,10.0996,1664,3407872
2026-08-28 05:34:55,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,4,8,2.0156,7.5052,1696,3473408
2026-08-28 05:35:03,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,4,1,2.7188,15.1621,1472,3014656
2026-08-28 05:35:51,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,4,9,2.1406,8.5045,1728,3538944
2026-08-28 05:35:59,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,4,2,2.4531,11.6243,1504,3080192
2026-08-28 05:36:47,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,4,10,1.6719,5.3223,1760,3604480
2026-08-28 05:36:54,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,4,3,2.2500,9.4877,1536,3145728
2026-08-28 05:37:44,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,4,11,2.4531,11.6243,1792,3670016
2026-08-28 05:37:50,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,4,4,2.9375,18.8686,1568,3211264
